id,turn_id,kind,era_cohort,title,narrative,mechanical_delta,source,created_at
1,,founding,confederation,Baron Elliott of Glengarry founded,"Season 1 · Baron Elliott of Glengarry is created, seated at Kingston and the Islands.","{""season"": 1, ""stats"": {""capital"": 40, ""influence"": 35, ""cohesion"": 76, ""ambition"": 1}, ""community"": ""Irish Protestant (Orange)"", ""tag"": ""Mixed""}",engine,2026-09-07 21:00:50
2,,societal,confederation,Red River Resistance,Season 3 · Baron Elliott of Glengarry meets Red River Resistance and exploits.,"{""season"": 3, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-07 21:00:50
3,,societal,confederation,Confederation Extension (Manitoba Act),Season 4 · Baron Elliott of Glengarry meets Confederation Extension (Manitoba Act) and resists.,"{""season"": 4, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-07 21:00:50
4,,founding,confederation,Viscount Wallace of Perth founded,"Season 4 · Viscount Wallace of Perth is created, seated at Niagara West.","{""season"": 4, ""stats"": {""capital"": 55, ""influence"": 27, ""cohesion"": 65, ""ambition"": 4}, ""community"": ""Toronto Industrial and Commercial"", ""tag"": ""Outside""}",engine,2026-09-07 21:00:50
5,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 5 · Baron Elliott of Glengarry meets British Columbia Joins; Treaty 1 Signed and exploits.,"{""season"": 5, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-07 21:00:50
6,,founding,confederation,Baron Stefaniuk of Emerson founded,"Season 5 · Baron Stefaniuk of Emerson is created, seated at Provencher.","{""season"": 5, ""stats"": {""capital"": 48, ""influence"": 29, ""cohesion"": 62, ""ambition"": 8}, ""community"": ""Ukrainian"", ""tag"": ""Conservative""}",engine,2026-09-07 21:00:50
7,,other,confederation,Baron Elliott of Glengarry names an heir,Season 6 · Baron Elliott of Glengarry names Mary Elliott heir.,"{""season"": 6, ""heir_age"": 37, ""role"": ""heir""}",engine,2026-09-07 21:00:50
8,,societal,confederation,Red River Resistance,Season 6 · Viscount Wallace of Perth meets Red River Resistance and resists.,"{""season"": 6, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-07 21:00:50
9,,expansion,confederation,Viscount Wallace of Perth takes Haldimand—Norfolk,Season 6 · Viscount Wallace of Perth takes Haldimand—Norfolk.,"{""season"": 6, ""riding"": ""Haldimand\u2014Norfolk"", ""roll"": 9}",engine,2026-09-07 21:00:50
10,,other,confederation,Baron Stefaniuk of Emerson names an heir,Season 6 · Baron Stefaniuk of Emerson names Kost Stefaniuk heir.,"{""season"": 6, ""heir_age"": 41, ""role"": ""heir""}",engine,2026-09-07 21:00:50
11,,societal,confederation,Pacific Scandal,Season 7 · Baron Elliott of Glengarry meets Pacific Scandal and exploits.,"{""season"": 7, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-07 21:00:50
12,,societal,confederation,Confederation Extension (Manitoba Act),Season 7 · Viscount Wallace of Perth meets Confederation Extension (Manitoba Act) and resists.,"{""season"": 7, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-07 21:00:50
13,,relational,confederation,Viscount Wallace of Perth corresponds with Baron Stefaniuk of Emerson,Season 7 · Viscount Wallace of Perth opens a correspondence with Baron Stefaniuk of Emerson.,"{""season"": 7, ""marker"": ""\u25ce""}",engine,2026-09-07 21:00:50
14,,societal,confederation,Red River Resistance,Season 7 · Baron Stefaniuk of Emerson meets Red River Resistance and stands aside.,"{""season"": 7, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-07 21:00:50
15,,societal,confederation,Long Depression Reaches Canada,Season 8 · Baron Elliott of Glengarry meets Long Depression Reaches Canada and resists.,"{""season"": 8, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1874, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-07 21:00:50
16,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 8 · Viscount Wallace of Perth meets British Columbia Joins; Treaty 1 Signed and exploits.,"{""season"": 8, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-07 21:00:50
17,,other,confederation,Viscount Wallace of Perth names an heir,Season 8 · Viscount Wallace of Perth names George Wallace heir.,"{""season"": 8, ""heir_age"": 14, ""role"": ""heir""}",engine,2026-09-07 21:00:50
18,,societal,confederation,Confederation Extension (Manitoba Act),Season 8 · Baron Stefaniuk of Emerson meets Confederation Extension (Manitoba Act) and leads.,"{""season"": 8, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-07 21:00:50
19,,founding,confederation,Viscount Benjamin of Bellechasse founded,"Season 8 · Viscount Benjamin of Bellechasse is created, seated at Laurentides—Labelle.","{""season"": 8, ""stats"": {""capital"": 48, ""influence"": 36, ""cohesion"": 73, ""ambition"": 4}, ""community"": ""Jewish Montr\u00e9al"", ""tag"": ""Conservative""}",engine,2026-09-07 21:00:50
20,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 9 · Baron Stefaniuk of Emerson meets British Columbia Joins; Treaty 1 Signed and resists.,"{""season"": 9, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-07 21:00:50
21,,expansion,confederation,Baron Stefaniuk of Emerson takes Selkirk—Interlake—Eastman,Season 9 · Baron Stefaniuk of Emerson takes Selkirk—Interlake—Eastman.,"{""season"": 9, ""riding"": ""Selkirk\u2014Interlake\u2014Eastman"", ""roll"": 9}",engine,2026-09-07 21:00:50
22,,founding,confederation,Viscount Mercier de Rimouski founded,"Season 9 · Viscount Mercier de Rimouski is created, seated at Joliette—Manawan.","{""season"": 9, ""stats"": {""capital"": 37, ""influence"": 33, ""cohesion"": 73, ""ambition"": 8}, ""community"": ""Canadien Catholic"", ""tag"": ""Progressive""}",engine,2026-09-07 21:00:50
23,,societal,confederation,Indian Act,Season 10 · Baron Elliott of Glengarry meets Indian Act and exploits.,"{""season"": 10, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1876, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-07 21:00:50
